                             Datetime,open,high,low,close,volume,Interval,currency,exchange_timezone,exchange
24-08-2021 15:49,149.61,149.62,149.60001,149.60001,155203,1min,USD,America/New_York,Common Stock
24-08-2021 15:48,149.67,149.67,149.63,149.63,91085,1min,USD,America/New_York,Common Stock
24-08-2021 15:47,149.64,149.66,149.63,149.66,70493,1min,USD,America/New_York,Common Stock
24-08-2021 15:46,149.67,149.67,149.64,149.64,51117,1min,USD,America/New_York,Common Stock
24-08-2021 15:45,149.62,149.67,149.62,149.67,95293,1min,USD,America/New_York,Common Stock
24-08-2021 15:44,149.66,149.67,149.63,149.63,89569,1min,USD,America/New_York,Common Stock
24-08-2021 15:43,149.62579,149.66991,149.62,149.66,242661,1min,USD,America/New_York,Common Stock
24-08-2021 15:42,149.627,149.64999,149.62,149.63,68354,1min,USD,America/New_York,Common Stock
24-08-2021 15:41,149.645,149.645,149.61501,149.62781,41451,1min,USD,America/New_York,Common Stock
24-08-2021 15:40,149.655,149.67,149.61,149.645,113950,1min,USD,America/New_York,Common Stock
24-08-2021 15:39,149.67999,149.69,149.64,149.66,91875,1min,USD,America/New_York,Common Stock
24-08-2021 15:38,149.71001,149.72,149.67,149.67751,56630,1min,USD,America/New_York,Common Stock
24-08-2021 15:37,149.745,149.745,149.67,149.71001,90219,1min,USD,America/New_York,Common Stock
24-08-2021 15:36,149.73,149.75,149.72,149.7401,41988,1min,USD,America/New_York,Common Stock
24-08-2021 15:35,149.7301,149.7399,149.72,149.72,0,1min,USD,America/New_York,Common Stock
24-08-2021 15:34,149.75999,149.765,149.72,149.73,107865,1min,USD,America/New_York,Common Stock
24-08-2021 15:33,149.7914,149.7914,149.7547,149.7644,84856,1min,USD,America/New_York,Common Stock
24-08-2021 15:32,149.785,149.81,149.78,149.795,60696,1min,USD,America/New_York,Common Stock
24-08-2021 15:31,149.75,149.78999,149.75,149.78999,63511,1min,USD,America/New_York,Common Stock
24-08-2021 15:30,149.7968,149.81,149.735,149.7502,82895,1min,USD,America/New_York,Common Stock
24-08-2021 15:55,149.5,149.66,149.49001,149.61,0,5min,USD,America/New_York,Common Stock
24-08-2021 15:50,149.60001,149.62,149.46001,149.47,0,5min,USD,America/New_York,Common Stock
24-08-2021 15:45,149.62,149.67,149.60001,149.60001,463191,5min,USD,America/New_York,Common Stock
24-08-2021 15:40,149.655,149.67,149.61,149.63,555985,5min,USD,America/New_York,Common Stock
24-08-2021 15:35,149.7301,149.75,149.64,149.66,280712,5min,USD,America/New_York,Common Stock
24-08-2021 15:30,149.7968,149.81,149.72,149.73,399823,5min,USD,America/New_York,Common Stock
24-08-2021 15:25,149.89011,149.905,149.73,149.8,350165,5min,USD,America/New_York,Common Stock
24-08-2021 15:20,149.826,149.89999,149.75999,149.899,430867,5min,USD,America/New_York,Common Stock
24-08-2021 15:15,149.75,149.8399,149.71001,149.8287,268290,5min,USD,America/New_York,Common Stock
24-08-2021 15:10,149.735,149.7999,149.72009,149.75,284128,5min,USD,America/New_York,Common Stock
24-08-2021 15:05,149.799,149.815,149.71001,149.735,293476,5min,USD,America/New_York,Common Stock
24-08-2021 15:00,149.75,149.86,149.72,149.795,459078,5min,USD,America/New_York,Common Stock
24-08-2021 14:55,149.69501,149.77,149.6725,149.74001,350990,5min,USD,America/New_York,Common Stock
24-08-2021 14:50,149.6299,149.7,149.57001,149.7,291872,5min,USD,America/New_York,Common Stock
24-08-2021 14:45,149.61501,149.62,149.57001,149.61501,209842,5min,USD,America/New_York,Common Stock
24-08-2021 14:40,149.5768,149.6299,149.52,149.61501,338680,5min,USD,America/New_York,Common Stock
24-08-2021 14:35,149.655,149.66499,149.55,149.5799,254640,5min,USD,America/New_York,Common Stock
24-08-2021 14:30,149.52,149.67999,149.5,149.655,302691,5min,USD,America/New_York,Common Stock
24-08-2021 14:25,149.5808,149.60001,149.515,149.52901,186163,5min,USD,America/New_York,Common Stock
24-08-2021 14:20,149.64,149.64999,149.52499,149.58,225446,5min,USD,America/New_York,Common Stock
24-08-2021 14:15,149.5672,149.64999,149.50011,149.642,390942,5min,USD,America/New_York,Common Stock
24-08-2021 14:10,149.545,149.62,149.543,149.56,230143,5min,USD,America/New_York,Common Stock
24-08-2021 14:05,149.60001,149.63,149.53999,149.55499,320251,5min,USD,America/New_York,Common Stock
24-08-2021 14:00,149.64999,149.66,149.59,149.61501,232897,5min,USD,America/New_York,Common Stock
24-08-2021 13:55,149.75999,149.81,149.62041,149.649,341857,5min,USD,America/New_York,Common Stock
24-08-2021 13:50,149.61,149.76199,149.58501,149.75999,289123,5min,USD,America/New_York,Common Stock
24-08-2021 13:45,149.61,149.6378,149.57001,149.60001,220015,5min,USD,America/New_York,Common Stock
24-08-2021 13:40,149.55499,149.64999,149.545,149.61,280889,5min,USD,America/New_York,Common Stock
24-08-2021 13:35,149.55,149.60001,149.52,149.55499,202440,5min,USD,America/New_York,Common Stock
24-08-2021 13:30,149.61861,149.65739,149.55,149.56,353789,5min,USD,America/New_York,Common Stock
25-08-2021 12:39,148.37199,148.41,148.35091,148.405,81156,1min,USD,America/New_York,Common Stock
